datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
10/23/2024_19:01:30,40.795258,-73.950409,6,0,0,0,0,0,0,0,0,0
10/23/2024_19:01:34,40.795334,-73.950439,5,0,0,0,0,0,0,0,0,0
10/23/2024_19:01:40,40.795288,-73.950592,4,26.5,54.4,291,2568,777,124,18,0,0
10/23/2024_19:01:45,40.795319,-73.950531,7,26,56.2,443,2034,630,101,19,0,0
10/23/2024_19:01:50,40.795364,-73.95047,5,25.8,57,440,1914,603,100,17,0,0
10/23/2024_19:01:55,40.795425,-73.95047,7,25.4,57.8,393,1944,603,85,10,0,0
10/23/2024_19:02:00,40.795456,-73.950439,6,25.2,58.6,430,1908,589,81,7,0,0
10/23/2024_19:02:05,40.795532,-73.950409,7,24.9,59.3,438,1785,549,72,2,0,0
10/23/2024_19:02:10,40.795563,-73.950348,7,24.6,60.1,426,1680,527,73,0,0,0
10/23/2024_19:02:15,40.795563,-73.950317,7,24.3,60.9,422,1593,501,65,0,0,0
10/23/2024_19:02:20,40.795593,-73.950317,7,24,61.6,405,1725,539,63,0,0,0
10/23/2024_19:02:25,40.795609,-73.950317,7,23.8,62.3,406,1704,535,44,0,0,0
10/23/2024_19:02:30,40.795639,-73.950317,7,23.5,63,406,1815,565,34,0,0,0
10/23/2024_19:02:35,40.795685,-73.950256,7,23.4,63.5,407,1797,564,49,0,0,0
10/23/2024_19:02:40,40.7957,-73.950256,7,23.1,64.1,441,1791,559,57,0,0,0
10/23/2024_19:02:45,40.795761,-73.950226,7,23.1,64.6,440,1791,551,62,0,0,0
10/23/2024_19:02:50,40.795822,-73.950195,7,22.9,64.9,444,1755,542,69,1,0,0
10/23/2024_19:02:55,40.795837,-73.950165,7,22.7,65.3,466,1686,513,61,1,0,0
10/23/2024_19:03:00,40.795868,-73.950165,7,22.6,65.8,473,1809,553,52,1,0,0
10/23/2024_19:03:05,40.795929,-73.950134,7,22.6,66,470,1929,581,57,1,0,0
10/23/2024_19:03:10,40.795975,-73.950073,7,22.6,66.2,473,1854,562,49,0,0,0
10/23/2024_19:03:15,40.796021,-73.950043,7,22.5,66.4,468,1710,526,58,2,0,0
10/23/2024_19:03:20,40.796036,-73.949982,7,22.5,66.5,439,1527,468,71,2,0,0
10/23/2024_19:03:25,40.796066,-73.949951,7,22.4,66.7,440,1416,437,61,2,0,0
10/23/2024_19:03:30,40.796082,-73.949951,7,22.2,66.9,443,1335,413,61,3,1,1
10/23/2024_19:03:35,40.796097,-73.949921,7,22,67.3,444,1443,441,65,3,2,1
10/23/2024_19:03:40,40.796127,-73.94989,7,21.8,67.7,446,1578,485,66,4,2,1
10/23/2024_19:03:45,40.796158,-73.94989,7,21.7,68.2,460,1593,490,68,3,1,0
10/23/2024_19:03:50,40.796188,-73.94989,7,21.7,68.4,461,1629,507,67,2,0,0
10/23/2024_19:03:55,40.796234,-73.94986,7,21.7,68.4,461,1767,549,76,3,3,0
10/23/2024_19:04:00,40.79628,-73.94986,7,21.7,68.4,462,1890,592,69,3,3,0
10/23/2024_19:04:05,40.79631,-73.949829,7,21.8,68.5,465,1950,611,84,3,3,0
10/23/2024_19:04:10,40.796356,-73.949768,7,21.7,68.6,455,1959,608,88,4,3,0
10/23/2024_19:04:15,40.796371,-73.949768,7,21.6,68.9,399,2034,632,88,5,0,0
10/23/2024_19:04:20,40.796417,-73.949768,7,21.7,69.6,496,1980,610,88,5,0,0
10/23/2024_19:04:25,40.796448,-73.949768,7,21.7,69.8,639,2100,656,82,5,0,0
10/23/2024_19:04:30,40.796494,-73.949738,7,21.7,69.7,680,2235,691,74,3,0,0
10/23/2024_19:04:35,40.79657,-73.949738,7,21.8,69.7,680,2103,651,73,0,0,0
10/23/2024_19:04:40,40.7966,-73.949707,7,21.9,69.7,680,2196,667,71,0,0,0
10/23/2024_19:04:45,40.796646,-73.949646,7,22,69.5,673,1956,595,70,1,1,0
10/23/2024_19:04:50,40.796677,-73.949554,7,22,69.4,673,1923,573,65,2,2,0
10/23/2024_19:04:55,40.796677,-73.949463,7,22.1,69.2,667,1905,584,69,2,2,0
10/23/2024_19:05:00,40.796692,-73.949432,7,22.1,69.1,656,1929,598,71,1,1,0
10/23/2024_19:05:05,40.796738,-73.949432,7,22.2,68.9,589,1824,580,66,0,0,0
10/23/2024_19:05:10,40.796814,-73.949402,8,22.2,68.8,556,1734,539,50,0,0,0
10/23/2024_19:05:15,40.796906,-73.949341,8,22.2,68.8,546,1791,556,59,1,0,0
10/23/2024_19:05:20,40.796921,-73.949341,8,22.2,68.6,547,1899,578,65,1,0,0
10/23/2024_19:05:25,40.796967,-73.94931,8,22.2,68.6,538,2022,621,71,1,0,0
10/23/2024_19:05:30,40.797012,-73.94928,8,22.2,68.6,527,2079,645,84,0,0,0
10/23/2024_19:05:35,40.797043,-73.949249,8,22.2,68.7,510,2238,681,86,0,0,0
10/23/2024_19:05:40,40.797058,-73.949219,8,22.2,68.7,508,2367,719,96,0,0,0
10/23/2024_19:05:45,40.797104,-73.949219,8,22.1,68.7,495,2325,702,81,0,0,0
10/23/2024_19:05:50,40.797134,-73.949188,8,22.2,68.7,461,2169,666,89,7,1,0
10/23/2024_19:05:55,40.79718,-73.949188,8,22.3,68.7,462,2193,673,83,4,0,0
10/23/2024_19:06:00,40.797241,-73.949188,8,22.4,68.5,464,2175,662,77,2,0,0
10/23/2024_19:06:05,40.797272,-73.949158,7,22.4,68.3,471,2274,694,84,3,0,0
10/23/2024_19:06:10,40.797302,-73.949127,8,22.5,68.1,472,2106,641,85,5,0,0
10/23/2024_19:06:15,40.797348,-73.949097,8,22.5,68,478,2049,630,88,4,0,0
10/23/2024_19:06:20,40.797379,-73.949097,7,22.6,68,478,2028,615,93,3,0,0
10/23/2024_19:06:25,40.797394,-73.949066,8,22.7,67.9,471,1950,599,79,1,0,0
10/23/2024_19:06:30,40.797409,-73.949005,8,22.8,67.8,471,1998,612,86,0,0,0
10/23/2024_19:06:35,40.797424,-73.948914,8,22.9,67.7,472,1914,597,54,0,0,0
10/23/2024_19:06:40,40.79744,-73.948822,8,23,67.4,472,1860,567,49,1,0,0
10/23/2024_19:06:45,40.797485,-73.948792,8,23.1,67.2,470,1881,574,54,3,0,0
10/23/2024_19:06:50,40.797516,-73.948792,8,23.2,67.2,469,1878,574,66,3,0,0
10/23/2024_19:06:55,40.797562,-73.948822,8,23.2,67.1,469,1929,589,76,3,0,0
10/23/2024_19:07:00,40.797592,-73.948914,8,23.2,67,474,1917,586,85,0,0,0
10/23/2024_19:07:05,40.797623,-73.948944,8,23.3,66.8,473,2034,623,89,0,0,0
10/23/2024_19:07:10,40.797638,-73.949036,7,23.3,66.6,472,1935,598,81,1,1,0
10/23/2024_19:07:15,40.797668,-73.949097,7,23.4,66.5,472,1959,605,72,2,1,0
10/23/2024_19:07:20,40.797684,-73.949158,8,23.4,66.4,465,2142,666,80,6,1,0
10/23/2024_19:07:25,40.797699,-73.94928,8,23.3,66.4,465,2853,887,133,7,0,0
10/23/2024_19:07:30,40.797699,-73.949341,8,23.3,66.4,438,3660,1142,236,25,1,1
10/23/2024_19:07:35,40.79776,-73.949402,8,23.4,66.3,438,4008,1258,277,31,1,1
10/23/2024_19:07:40,40.79776,-73.949432,8,23.4,66.2,439,3501,1099,208,15,0,0
10/23/2024_19:07:45,40.79776,-73.949463,8,23.4,66.1,440,3204,988,174,6,0,0
10/23/2024_19:07:50,40.797791,-73.949524,8,23.5,66.1,457,2649,820,128,3,0,0
10/23/2024_19:07:55,40.797806,-73.949585,8,23.5,66,462,2451,762,110,4,1,0
10/23/2024_19:08:00,40.797836,-73.949615,8,23.6,66,460,2358,745,97,5,2,0
10/23/2024_19:08:05,40.797836,-73.949646,8,23.6,65.9,446,2382,745,108,7,3,0
10/23/2024_19:08:10,40.797882,-73.949707,8,23.5,65.9,392,2556,803,129,5,3,0
10/23/2024_19:08:15,40.797913,-73.949768,8,23.4,66,392,2388,743,117,5,1,0
10/23/2024_19:08:20,40.797913,-73.949799,8,23.4,66,425,2412,752,94,7,3,3
10/23/2024_19:08:25,40.797943,-73.94986,8,23.5,66,426,2310,718,84,7,4,3
10/23/2024_19:08:30,40.797958,-73.949921,8,23.5,65.9,423,2244,688,71,5,4,3
10/23/2024_19:08:35,40.797958,-73.949951,8,23.4,65.9,421,2115,633,90,5,2,0
10/23/2024_19:08:40,40.797958,-73.950043,8,23.4,65.9,387,1998,603,80,5,2,0
10/23/2024_19:08:45,40.797974,-73.950073,8,23.4,65.9,389,2097,642,89,4,1,0
10/23/2024_19:08:50,40.797989,-73.950134,8,23.5,65.8,388,2001,610,78,4,1,0
10/23/2024_19:08:55,40.798035,-73.950195,8,23.5,65.8,398,2049,638,90,0,0,0
10/23/2024_19:09:00,40.798065,-73.950226,8,23.5,65.7,408,2028,634,92,1,0,0
10/23/2024_19:09:05,40.798065,-73.950287,8,23.5,65.6,406,1998,626,95,2,0,0
10/23/2024_19:09:10,40.79808,-73.950348,8,23.6,65.5,472,1983,618,85,2,0,0
10/23/2024_19:09:15,40.798111,-73.950378,8,23.7,65.6,488,1983,609,89,1,0,0
10/23/2024_19:09:20,40.798111,-73.950409,8,23.7,65.7,350,2058,618,81,0,0,0
10/23/2024_19:09:25,40.798141,-73.95047,8,23.7,65.8,299,2151,652,86,3,0,0
10/23/2024_19:09:30,40.798172,-73.950531,8,23.7,65.9,296,2271,695,83,4,0,0
10/23/2024_19:09:35,40.798172,-73.950592,8,23.7,65.9,362,2178,681,81,5,0,0
10/23/2024_19:09:40,40.798187,-73.950653,8,23.8,65.8,451,2202,684,90,4,0,0
10/23/2024_19:09:45,40.798218,-73.950684,7,23.8,65.6,459,2079,636,79,4,1,0
10/23/2024_19:09:50,40.798248,-73.950684,7,23.9,65.4,478,2235,692,88,4,1,0
10/23/2024_19:09:55,40.798248,-73.950745,8,23.9,65.3,513,2172,667,77,3,1,0
10/23/2024_19:10:00,40.798279,-73.950775,8,24,65.2,514,2190,679,84,3,1,0
10/23/2024_19:10:05,40.798325,-73.950836,8,23.9,65.1,532,2118,654,87,1,0,0
10/23/2024_19:10:10,40.798355,-73.950897,8,23.9,65,536,2013,619,84,1,0,0
10/23/2024_19:10:15,40.798477,-73.950928,8,23.9,65,537,2232,680,91,0,0,0
10/23/2024_19:10:20,40.798477,-73.950989,8,23.8,65,538,2298,700,95,0,0,0
10/23/2024_19:10:25,40.798492,-73.951019,8,23.8,64.9,516,2217,673,76,0,0,0
10/23/2024_19:10:30,40.798508,-73.95105,8,23.7,64.9,552,2085,627,70,0,0,0
10/23/2024_19:10:35,40.798523,-73.95108,8,23.6,65,572,1836,559,48,0,0,0
10/23/2024_19:10:40,40.798538,-73.951141,8,23.4,65.2,573,1710,518,44,0,0,0
10/23/2024_19:10:45,40.798538,-73.951202,8,23.3,65.5,572,1854,569,46,0,0,0
10/23/2024_19:10:50,40.798553,-73.951263,8,23.2,65.7,554,1935,594,48,0,0,0
10/23/2024_19:10:55,40.798584,-73.951324,8,23.2,65.8,530,1905,589,55,1,0,0
10/23/2024_19:11:00,40.798599,-73.951355,8,23.2,65.9,532,1896,581,68,1,0,0
10/23/2024_19:11:05,40.798615,-73.951416,7,23.2,65.9,551,1977,609,67,4,0,0
10/23/2024_19:11:10,40.79863,-73.951447,7,23.1,66,551,2010,615,70,3,0,0
10/23/2024_19:11:15,40.798645,-73.951508,7,23,66.1,546,1965,613,58,3,0,0
10/23/2024_19:11:20,40.798645,-73.951538,8,23,66.1,553,1863,583,64,1,1,0
10/23/2024_19:11:25,40.798706,-73.951599,8,23.1,66.2,523,1956,610,71,1,1,0
10/23/2024_19:11:30,40.798721,-73.95166,8,23.2,66.1,532,2010,617,77,1,1,0
10/23/2024_19:11:35,40.798737,-73.951752,8,23.2,66,532,1968,606,64,0,0,0
10/23/2024_19:11:40,40.798752,-73.951813,7,23.2,65.9,531,2028,631,56,0,0,0
10/23/2024_19:11:45,40.798798,-73.951874,7,23.4,65.8,315,2016,626,70,0,0,0
10/23/2024_19:11:50,40.798782,-73.951904,7,23.5,65.6,312,2046,640,82,1,0,0
10/23/2024_19:11:55,40.798782,-73.951935,8,23.5,65.6,326,2145,658,90,1,0,0
10/23/2024_19:12:00,40.798767,-73.951935,8,23.6,65.6,360,2178,672,87,1,0,0
10/23/2024_19:12:05,40.798782,-73.951965,8,23.7,65.6,372,2052,627,76,1,0,0
10/23/2024_19:12:10,40.798767,-73.951965,8,23.8,65.5,388,1974,609,72,1,0,0
10/23/2024_19:12:15,40.798798,-73.951965,9,23.8,65.4,421,1956,600,73,1,0,0
10/23/2024_19:12:20,40.798782,-73.951996,9,23.8,65.4,443,1920,581,62,2,0,0
10/23/2024_19:12:25,40.798782,-73.951996,9,23.9,65.5,482,2025,621,66,1,0,0
10/23/2024_19:12:30,40.798752,-73.951996,9,23.9,65.4,490,2106,633,82,2,0,0
10/23/2024_19:12:35,40.798767,-73.952026,9,24,65.4,494,2169,666,92,3,0,0
10/23/2024_19:12:40,40.798782,-73.952057,9,24,65.4,503,2127,658,78,2,0,0
10/23/2024_19:12:45,40.798798,-73.952087,9,24.1,65.3,525,2178,679,92,2,0,0
10/23/2024_19:12:50,40.798813,-73.952118,8,24.2,65,552,1974,622,81,1,0,0
10/23/2024_19:12:55,40.798874,-73.952118,9,24.2,64.7,550,1833,566,66,0,0,0
10/23/2024_19:13:00,40.79892,-73.952118,9,24.4,64.4,549,1767,543,66,0,0,0
10/23/2024_19:13:05,40.798935,-73.952179,9,24.4,63.9,548,1617,499,47,1,0,0
10/23/2024_19:13:10,40.798935,-73.95224,9,24.5,63.6,499,1755,548,48,2,0,0
10/23/2024_19:13:15,40.79895,-73.952271,9,24.6,63.4,492,3468,1070,208,16,0,0
10/23/2024_19:13:20,40.798965,-73.952332,9,24.6,63.3,328,3126,956,204,19,0,0
10/23/2024_19:13:25,40.798981,-73.952362,9,24.6,63.1,301,2172,675,113,10,0,0
10/23/2024_19:13:30,40.799011,-73.952393,9,24.7,62.9,304,2163,662,102,9,0,0
10/23/2024_19:13:35,40.799026,-73.952423,9,24.8,62.8,333,2154,660,81,5,0,0
10/23/2024_19:13:40,40.799057,-73.952454,9,24.9,62.7,349,2313,711,85,3,0,0
10/23/2024_19:13:45,40.799072,-73.952484,8,24.9,62.6,419,2367,742,88,2,0,0
10/23/2024_19:13:50,40.799088,-73.952515,8,24.8,62.6,416,2274,705,87,2,0,0
10/23/2024_19:13:55,40.799103,-73.952576,9,24.8,62.7,401,2040,637,83,1,0,0
10/23/2024_19:14:00,40.799133,-73.952637,9,24.8,63,402,1899,591,66,0,0,0
10/23/2024_19:14:05,40.799133,-73.952667,9,24.8,63.1,417,1941,592,57,0,0,0
10/23/2024_19:14:10,40.799149,-73.952698,9,24.8,62.9,456,1869,574,68,2,0,0
10/23/2024_19:14:15,40.799179,-73.952759,9,24.5,62.9,502,1791,549,67,2,0,0
10/23/2024_19:14:20,40.799225,-73.95282,9,24.4,63.2,501,1629,516,85,3,0,0
10/23/2024_19:14:25,40.799225,-73.952881,9,24.3,63.4,500,1629,510,78,2,0,0
10/23/2024_19:14:30,40.799225,-73.952942,9,24.3,63.5,531,1578,492,57,1,0,0
10/23/2024_19:14:35,40.79921,-73.953003,9,24.3,63.4,530,1728,540,62,1,0,0
10/23/2024_19:14:40,40.79924,-73.953033,8,24.3,63.4,528,1875,584,60,0,0,0
10/23/2024_19:14:45,40.79924,-73.953064,9,24.3,63.4,509,1824,568,63,0,0,0
10/23/2024_19:14:50,40.799271,-73.953094,9,24.3,63.5,504,1869,580,71,0,0,0
10/23/2024_19:14:55,40.799301,-73.953156,8,24.3,63.4,505,1803,554,78,0,0,0
10/23/2024_19:15:00,40.799316,-73.953156,8,24.2,63.4,504,1890,578,83,0,0,0
10/23/2024_19:15:05,40.799332,-73.953186,8,24.1,63.6,498,1851,570,77,0,0,0
10/23/2024_19:15:10,40.799362,-73.953247,8,24.2,63.8,490,1878,580,65,1,0,0
10/23/2024_19:15:15,40.799393,-73.953278,7,24.2,63.8,480,1851,578,53,1,0,0
10/23/2024_19:15:20,40.799408,-73.953308,7,24.2,64,483,1800,563,52,1,0,0
10/23/2024_19:15:25,40.799408,-73.953369,7,24.2,64,525,1809,556,46,0,0,0
10/23/2024_19:15:30,40.799438,-73.95343,8,24.3,64,589,1779,541,54,0,0,0
10/23/2024_19:15:35,40.799469,-73.953522,8,24.3,63.8,595,2034,624,70,0,0,0
10/23/2024_19:15:40,40.799484,-73.953552,8,24.3,63.6,594,2112,650,59,0,0,0
10/23/2024_19:15:45,40.7995,-73.953613,8,24.3,63.6,594,2058,638,60,0,0,0
10/23/2024_19:15:50,40.79953,-73.953674,8,24.3,63.6,599,1902,588,57,0,0,0
