datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
10/25/2024_21:24:31,40.814972,-73.942078,5,28.9,33.3,670,366,106,2,0,0,0
10/25/2024_21:24:36,40.814926,-73.942047,4,29,33.2,663,438,125,3,0,0,0
10/25/2024_21:24:41,40.814896,-73.941986,4,29,33.1,664,420,125,8,0,0,0
10/25/2024_21:24:46,40.814896,-73.941956,4,29.1,32.9,665,474,144,12,0,0,0
10/25/2024_21:24:51,40.814911,-73.941956,6,29.2,32.8,665,468,145,14,0,0,0
10/25/2024_21:24:56,40.814911,-73.941986,6,29.2,32.7,661,453,136,7,0,0,0
10/25/2024_21:25:01,40.814926,-73.941986,6,29.3,32.6,653,435,126,4,0,0,0
10/25/2024_21:25:06,40.814941,-73.941986,6,29.3,32.5,653,375,110,1,0,0,0
10/25/2024_21:25:11,40.814957,-73.942017,5,29.4,32.4,653,396,115,2,0,0,0
10/25/2024_21:25:16,40.814972,-73.942047,5,29.5,32.1,653,300,94,2,0,0,0
10/25/2024_21:25:21,40.814972,-73.942017,6,29.6,32.1,646,363,115,3,0,0,0
10/25/2024_21:25:26,40.814972,-73.942017,6,29.6,32,643,408,127,8,0,0,0
10/25/2024_21:25:31,40.814957,-73.942017,6,29.6,31.8,643,390,121,9,0,0,0
10/25/2024_21:25:36,40.814957,-73.942047,6,29.7,31.7,644,387,118,12,0,0,0
10/25/2024_21:25:41,40.814987,-73.942047,5,29.7,31.6,645,351,110,15,0,0,0
10/25/2024_21:25:46,40.815002,-73.942047,5,29.8,31.6,644,348,100,12,0,0,0
10/25/2024_21:25:51,40.815002,-73.942078,5,29.9,31.5,641,339,96,8,0,0,0
10/25/2024_21:25:56,40.815002,-73.942078,5,29.9,31.4,642,336,89,12,1,0,0
