temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
0.0,0.0,0,0,0,0,0,0,0
27.4,34.0,1054,105,27,3,0,0,0
27.0,34.7,1036,108,28,3,0,0,0
26.7,35.2,1033,123,33,0,0,0,0
26.4,35.8,1026,96,29,0,0,0,0
26.2,36.4,1016,75,24,0,0,0,0
26.0,36.8,1020,66,18,1,0,0,0
25.5,37.7,1018,198,60,28,1,0,0
25.4,38.1,1018,126,38,5,0,0,0
25.2,38.4,1018,117,36,4,0,0,0
25.1,38.7,1018,84,28,2,0,0,0
25.0,39.0,1018,72,22,0,0,0,0
24.9,39.2,1018,78,24,0,0,0,0
24.8,39.5,1019,90,27,3,1,0,0
24.7,39.7,1018,81,25,3,1,0,0
24.6,39.9,1017,66,20,3,1,0,0
24.4,40.3,1016,72,21,0,0,0,0
24.3,40.5,1016,75,21,0,0,0,0
24.3,40.7,1015,111,33,1,1,1,0
24.2,40.9,1016,120,36,1,1,1,0
24.2,41.0,1016,108,34,1,1,1,0
24.1,41.2,1016,111,35,1,0,0,0
24.1,41.2,1016,117,37,1,0,0,0
24.1,41.3,1016,102,34,1,0,0,0
24.0,41.4,1016,90,29,0,0,0,0
23.9,41.6,1016,96,29,1,0,0,0
23.8,41.7,1017,63,18,1,0,0,0
23.8,41.8,1016,57,14,1,0,0,0
23.8,41.9,1015,60,17,0,0,0,0
23.8,41.9,1015,99,30,0,0,0,0
23.8,42.0,1015,126,39,0,0,0,0
23.8,42.1,1015,117,35,1,0,0,0
23.7,42.1,1014,108,32,1,0,0,0
23.7,42.1,1015,69,16,1,0,0,0
23.7,42.2,1013,90,25,0,0,0,0
23.6,42.2,1013,96,25,0,0,0,0
23.7,42.3,1014,72,22,0,0,0,0
23.7,42.3,1014,54,15,0,0,0,0
23.7,42.4,1015,84,26,4,0,0,0
23.7,42.3,1015,102,32,4,0,0,0
23.7,42.3,1014,123,38,4,0,0,0
23.7,42.4,1014,69,20,3,0,0,0
23.8,42.4,1014,54,12,0,0,0,0
23.8,42.4,1015,57,15,0,0,0,0
23.8,42.4,1014,96,25,0,0,0,0
23.8,42.4,1014,111,30,0,0,0,0
23.8,42.4,1014,120,31,0,0,0,0
23.8,42.4,1014,69,18,0,0,0,0
23.8,42.4,1013,66,16,0,0,0,0
23.8,42.3,1013,57,16,1,0,0,0
23.8,42.4,1013,162,42,2,0,0,0
23.8,42.4,1013,171,42,2,0,0,0
