datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
11/4/2024_22:37:50,40.725616,-73.990051,9,0.0,0.0,0,0,0,0,0,0,0
11/4/2024_22:37:54,40.725616,-73.990082,9,0.0,0.0,0,0,0,0,0,0,0
11/4/2024_22:37:59,40.725601,-73.990082,9,17.3,58.6,554,687,211,47,14,0,0
11/4/2024_22:38:04,40.725601,-73.990082,9,17.1,59.9,688,795,250,51,19,1,0
11/4/2024_22:38:09,40.725616,-73.989990,9,17.0,60.6,740,858,266,62,19,1,0
11/4/2024_22:38:14,40.725632,-73.989990,10,16.7,61.3,772,936,279,63,17,1,0
11/4/2024_22:38:19,40.725693,-73.989929,10,16.5,62.1,724,852,252,58,8,0,0
11/4/2024_22:38:24,40.725769,-73.989899,9,16.1,62.9,713,834,246,48,4,0,0
11/4/2024_22:38:29,40.725815,-73.989868,10,15.9,63.8,705,762,218,27,1,0,0
11/4/2024_22:38:34,40.725845,-73.989807,10,15.4,65.3,708,657,196,14,1,0,0
11/4/2024_22:38:39,40.725891,-73.989746,10,15.2,66.1,704,693,213,12,1,0,0
11/4/2024_22:38:44,40.725937,-73.989716,10,15.0,66.7,665,648,197,20,0,0,0
11/4/2024_22:38:49,40.725967,-73.989624,10,15.0,67.2,650,675,204,22,0,0,0
11/4/2024_22:38:54,40.725998,-73.989594,10,14.9,67.6,644,681,203,28,0,0,0
11/4/2024_22:38:59,40.726044,-73.989532,10,14.8,68.0,641,648,191,21,0,0,0
11/4/2024_22:39:04,40.726089,-73.989471,10,14.7,68.4,634,687,208,24,0,0,0
11/4/2024_22:39:09,40.726135,-73.989441,10,14.6,68.7,631,543,167,19,0,0,0
11/4/2024_22:39:14,40.726257,-73.989471,10,14.5,69.0,610,585,175,11,0,0,0
11/4/2024_22:39:19,40.726303,-73.989441,10,14.4,69.5,579,561,168,10,1,0,0
11/4/2024_22:39:24,40.726334,-73.989410,10,14.3,69.9,573,600,180,18,4,0,0
11/4/2024_22:39:29,40.726364,-73.989349,10,14.2,70.2,572,636,190,23,4,0,0
11/4/2024_22:39:34,40.726425,-73.989319,10,14.1,70.5,573,693,210,29,3,0,0
11/4/2024_22:39:39,40.726456,-73.989288,10,14.0,70.8,558,654,207,25,0,0,0
11/4/2024_22:39:44,40.726471,-73.989227,10,13.9,71.2,559,687,216,28,0,0,0
11/4/2024_22:39:49,40.726517,-73.989227,10,13.8,71.5,558,588,187,24,0,0,0
11/4/2024_22:39:54,40.726547,-73.989166,10,13.7,71.8,559,552,174,24,0,0,0
11/4/2024_22:39:59,40.726593,-73.989075,10,13.7,72.1,558,600,187,28,0,0,0
11/4/2024_22:40:04,40.726608,-73.988983,10,13.6,72.2,543,651,193,26,1,1,0
11/4/2024_22:40:09,40.726654,-73.988922,10,13.6,72.4,502,672,197,17,1,1,0
11/4/2024_22:40:14,40.726730,-73.988922,9,13.5,72.6,498,672,194,13,1,1,0
11/4/2024_22:40:19,40.726822,-73.988953,10,13.5,72.7,499,705,200,14,4,1,0
11/4/2024_22:40:24,40.726852,-73.988892,10,13.6,72.8,500,690,206,13,4,1,0
11/4/2024_22:40:29,40.726913,-73.988892,10,13.6,72.8,499,1272,399,61,9,1,0
11/4/2024_22:40:34,40.726944,-73.988831,10,13.6,72.9,492,2811,877,205,27,0,0
11/4/2024_22:40:39,40.726990,-73.988831,10,13.6,72.9,491,1869,589,151,16,0,0
11/4/2024_22:40:44,40.727020,-73.988770,10,13.5,73.0,507,1107,345,59,5,0,0
11/4/2024_22:40:49,40.727051,-73.988739,10,13.5,73.2,505,858,259,34,1,0,0
11/4/2024_22:40:54,40.727097,-73.988647,10,13.4,73.3,493,864,259,30,1,0,0
11/4/2024_22:40:59,40.727127,-73.988556,10,13.3,73.7,491,906,272,29,1,1,0
11/4/2024_22:41:04,40.727158,-73.988464,10,13.2,73.9,493,879,270,30,1,1,0
11/4/2024_22:41:09,40.727188,-73.988403,10,13.2,74.1,499,843,253,21,1,1,0
11/4/2024_22:41:14,40.727264,-73.988403,10,13.1,74.2,499,753,229,24,0,0,0
11/4/2024_22:41:19,40.727386,-73.988525,10,13.1,74.3,497,798,237,18,0,0,0
11/4/2024_22:41:24,40.727448,-73.988525,10,13.1,74.4,497,741,229,26,0,0,0
11/4/2024_22:41:29,40.727509,-73.988525,10,13.0,74.5,497,756,228,24,3,0,0
11/4/2024_22:41:34,40.727524,-73.988464,10,12.9,74.7,504,825,253,31,3,0,0
11/4/2024_22:41:39,40.727585,-73.988403,10,12.8,75.0,509,786,243,28,3,0,0
11/4/2024_22:41:44,40.727615,-73.988373,9,12.8,75.2,508,873,269,29,1,0,0
11/4/2024_22:41:49,40.727676,-73.988342,10,12.7,75.4,509,936,288,36,1,0,0
11/4/2024_22:41:54,40.727722,-73.988312,9,12.7,75.5,508,822,248,21,1,0,0
11/4/2024_22:41:59,40.727768,-73.988251,9,12.7,75.6,509,789,242,24,2,0,0
