datetime,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um,STATEFP,median_household_income,ppn_poverty,ppn_total,latitude,longitude,poverty_rate
10/21/2024_18:56:53,5,27.8,30.9,628,2247,697,137,23,0,0,36,198529,3007,3016,40.729736,-73.993225,0.9970159151193634
10/21/2024_18:56:58,6,28,31.3,600,2097,651,108,24,0,0,36,198529,3007,3016,40.729767,-73.993256,0.9970159151193634
10/21/2024_18:57:03,6,27.9,31.6,600,2127,673,97,23,0,0,36,198529,3007,3016,40.729813,-73.993347,0.9970159151193634
10/21/2024_18:57:08,6,27.9,32,600,2133,672,99,18,0,0,36,198529,3007,3016,40.729858,-73.993347,0.9970159151193634
10/21/2024_18:57:13,6,27.8,32.2,588,2073,637,87,12,1,0,36,198529,3007,3016,40.729858,-73.993317,0.9970159151193634
10/21/2024_18:57:18,6,27.8,32.5,577,1998,601,92,7,1,0,36,198529,3007,3016,40.729904,-73.993286,0.9970159151193634
10/21/2024_18:57:23,6,27.8,32.9,566,1965,599,98,4,1,0,36,198529,3007,3016,40.729935,-73.993347,0.9970159151193634
10/21/2024_18:57:28,6,27.7,33.1,563,1986,613,101,4,1,0,36,198529,3007,3016,40.729965,-73.993378,0.9970159151193634
10/21/2024_18:57:33,6,27.7,33.4,521,1935,595,117,8,0,0,36,198529,3007,3016,40.72998,-73.993408,0.9970159151193634
10/21/2024_18:57:38,6,27.7,33.4,519,1809,558,91,7,1,0,36,198529,3007,3016,40.72998,-73.993378,0.9970159151193634
10/21/2024_18:57:43,6,27.6,34,553,1755,537,86,7,1,0,36,198529,3007,3016,40.729858,-73.993317,0.9970159151193634
10/21/2024_18:57:48,7,27.6,34.2,564,1947,589,72,6,0,0,36,198529,3007,3016,40.729782,-73.993317,0.9970159151193634
10/21/2024_18:57:53,8,27.5,34.1,575,2034,618,82,7,0,0,36,198529,3007,3016,40.729675,-73.993225,0.9970159151193634
10/21/2024_18:57:58,8,27.3,34.2,573,1893,574,76,4,0,0,36,198529,3007,3016,40.729675,-73.993225,0.9970159151193634
10/21/2024_18:58:03,8,27.2,34.3,572,1737,532,63,1,0,0,36,198529,3007,3016,40.729691,-73.993256,0.9970159151193634
10/21/2024_18:58:08,8,27.3,34.4,597,1602,491,61,0,0,0,36,198529,3007,3016,40.729691,-73.993225,0.9970159151193634
10/21/2024_18:58:13,8,27.2,34.3,600,1752,538,65,1,0,0,36,198529,3007,3016,40.729706,-73.993225,0.9970159151193634
10/21/2024_18:58:18,8,27.1,34.4,598,1653,510,61,2,0,0,36,198529,3007,3016,40.729706,-73.993256,0.9970159151193634
10/21/2024_18:58:23,8,26.9,34.6,598,1695,522,47,2,0,0,36,198529,3007,3016,40.729706,-73.993256,0.9970159151193634
10/21/2024_18:58:28,8,26.8,34.7,597,1671,512,46,2,0,0,36,198529,3007,3016,40.729706,-73.993256,0.9970159151193634
10/21/2024_18:58:33,8,26.8,34.8,598,1755,540,60,2,0,0,36,198529,3007,3016,40.729691,-73.993256,0.9970159151193634
10/21/2024_18:58:38,8,26.9,34.8,597,1863,586,69,2,0,0,36,198529,3007,3016,40.729691,-73.993256,0.9970159151193634
10/21/2024_18:58:43,8,26.9,34.8,642,1779,556,83,2,0,0,36,198529,3007,3016,40.729675,-73.993256,0.9970159151193634
10/21/2024_18:58:48,8,26.9,34.7,640,1782,542,76,1,0,0,36,198529,3007,3016,40.72966,-73.993225,0.9970159151193634
10/21/2024_18:58:53,8,26.9,34.6,483,1770,535,68,1,0,0,36,198529,3007,3016,40.729675,-73.993225,0.9970159151193634
10/21/2024_18:58:58,8,27.1,34.6,493,1839,557,75,0,0,0,36,198529,3007,3016,40.729675,-73.993225,0.9970159151193634
10/21/2024_18:59:03,8,27.2,34.6,501,1956,609,73,1,1,1,36,198529,3007,3016,40.72966,-73.993256,0.9970159151193634
10/21/2024_18:59:08,8,27.3,34.5,521,1845,574,65,1,1,1,36,198529,3007,3016,40.729675,-73.993256,0.9970159151193634
10/21/2024_18:59:13,8,27.3,34.4,528,1845,563,75,1,1,1,36,198529,3007,3016,40.72966,-73.993286,0.9970159151193634
10/21/2024_18:59:18,8,27.4,34.6,528,1716,512,61,1,1,1,36,198529,3007,3016,40.72966,-73.993286,0.9970159151193634
10/21/2024_18:59:23,8,27.5,34.4,529,1704,518,59,0,0,0,36,198529,3007,3016,40.72966,-73.993286,0.9970159151193634
10/21/2024_18:59:28,8,27.6,34.2,530,1629,493,47,0,0,0,36,198529,3007,3016,40.72966,-73.993286,0.9970159151193634
10/21/2024_18:59:33,8,27.7,34.1,534,1539,469,50,1,1,0,36,198529,3007,3016,40.72966,-73.993286,0.9970159151193634
10/21/2024_18:59:38,8,27.9,34,534,1440,440,55,1,1,0,36,198529,3007,3016,40.72966,-73.993286,0.9970159151193634
10/21/2024_18:59:43,8,27.9,33.7,533,1557,475,62,1,1,0,36,198529,3007,3016,40.72966,-73.993286,0.9970159151193634
10/23/2024_19:01:40,4,26.5,54.4,291,2568,777,124,18,0,0,36,NA,0,0,40.795288,-73.950592,NA
10/23/2024_19:01:45,7,26,56.2,443,2034,630,101,19,0,0,36,NA,0,0,40.795319,-73.950531,NA
10/23/2024_19:01:50,5,25.8,57,440,1914,603,100,17,0,0,36,NA,0,0,40.795364,-73.95047,NA
10/23/2024_19:01:55,7,25.4,57.8,393,1944,603,85,10,0,0,36,NA,0,0,40.795425,-73.95047,NA
10/23/2024_19:02:00,6,25.2,58.6,430,1908,589,81,7,0,0,36,NA,0,0,40.795456,-73.950439,NA
10/23/2024_19:02:05,7,24.9,59.3,438,1785,549,72,2,0,0,36,NA,0,0,40.795532,-73.950409,NA
10/23/2024_19:02:10,7,24.6,60.1,426,1680,527,73,0,0,0,36,NA,0,0,40.795563,-73.950348,NA
10/23/2024_19:02:15,7,24.3,60.9,422,1593,501,65,0,0,0,36,NA,0,0,40.795563,-73.950317,NA
10/23/2024_19:02:20,7,24,61.6,405,1725,539,63,0,0,0,36,NA,0,0,40.795593,-73.950317,NA
10/23/2024_19:02:25,7,23.8,62.3,406,1704,535,44,0,0,0,36,NA,0,0,40.795609,-73.950317,NA
10/23/2024_19:02:30,7,23.5,63,406,1815,565,34,0,0,0,36,NA,0,0,40.795639,-73.950317,NA
10/23/2024_19:02:35,7,23.4,63.5,407,1797,564,49,0,0,0,36,NA,0,0,40.795685,-73.950256,NA
10/23/2024_19:02:40,7,23.1,64.1,441,1791,559,57,0,0,0,36,NA,0,0,40.7957,-73.950256,NA
10/23/2024_19:02:45,7,23.1,64.6,440,1791,551,62,0,0,0,36,NA,0,0,40.795761,-73.950226,NA
10/23/2024_19:02:50,7,22.9,64.9,444,1755,542,69,1,0,0,36,NA,0,0,40.795822,-73.950195,NA
10/23/2024_19:02:55,7,22.7,65.3,466,1686,513,61,1,0,0,36,NA,0,0,40.795837,-73.950165,NA
10/23/2024_19:03:00,7,22.6,65.8,473,1809,553,52,1,0,0,36,NA,0,0,40.795868,-73.950165,NA
10/23/2024_19:03:05,7,22.6,66,470,1929,581,57,1,0,0,36,NA,0,0,40.795929,-73.950134,NA
10/23/2024_19:03:10,7,22.6,66.2,473,1854,562,49,0,0,0,36,NA,0,0,40.795975,-73.950073,NA
10/23/2024_19:03:15,7,22.5,66.4,468,1710,526,58,2,0,0,36,NA,0,0,40.796021,-73.950043,NA
10/23/2024_19:03:20,7,22.5,66.5,439,1527,468,71,2,0,0,36,NA,0,0,40.796036,-73.949982,NA
10/23/2024_19:03:25,7,22.4,66.7,440,1416,437,61,2,0,0,36,NA,0,0,40.796066,-73.949951,NA
10/23/2024_19:03:30,7,22.2,66.9,443,1335,413,61,3,1,1,36,NA,0,0,40.796082,-73.949951,NA
10/23/2024_19:03:35,7,22,67.3,444,1443,441,65,3,2,1,36,NA,0,0,40.796097,-73.949921,NA
10/23/2024_19:03:40,7,21.8,67.7,446,1578,485,66,4,2,1,36,NA,0,0,40.796127,-73.94989,NA
10/23/2024_19:03:45,7,21.7,68.2,460,1593,490,68,3,1,0,36,NA,0,0,40.796158,-73.94989,NA
10/23/2024_19:03:50,7,21.7,68.4,461,1629,507,67,2,0,0,36,NA,0,0,40.796188,-73.94989,NA
10/23/2024_19:03:55,7,21.7,68.4,461,1767,549,76,3,3,0,36,NA,0,0,40.796234,-73.94986,NA
10/23/2024_19:04:00,7,21.7,68.4,462,1890,592,69,3,3,0,36,NA,0,0,40.79628,-73.94986,NA
10/23/2024_19:04:05,7,21.8,68.5,465,1950,611,84,3,3,0,36,NA,0,0,40.79631,-73.949829,NA
10/23/2024_19:04:10,7,21.7,68.6,455,1959,608,88,4,3,0,36,NA,0,0,40.796356,-73.949768,NA
10/23/2024_19:04:15,7,21.6,68.9,399,2034,632,88,5,0,0,36,NA,0,0,40.796371,-73.949768,NA
10/23/2024_19:04:20,7,21.7,69.6,496,1980,610,88,5,0,0,36,NA,0,0,40.796417,-73.949768,NA
10/23/2024_19:04:25,7,21.7,69.8,639,2100,656,82,5,0,0,36,NA,0,0,40.796448,-73.949768,NA
10/23/2024_19:04:30,7,21.7,69.7,680,2235,691,74,3,0,0,36,NA,0,0,40.796494,-73.949738,NA
10/23/2024_19:04:35,7,21.8,69.7,680,2103,651,73,0,0,0,36,NA,0,0,40.79657,-73.949738,NA
10/23/2024_19:04:40,7,21.9,69.7,680,2196,667,71,0,0,0,36,NA,0,0,40.7966,-73.949707,NA
